id	sample_description	title	study_ref	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	filetype	library_nominal_length	library_nominal_sdev
0	366345_0056-LP1-16S-0097	DNA18-pos-1_noPNAs_0	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
1	366345_0055-LP1-16S-0098	Must-20-AUG-2022-gt48-Block2_noPNAs_0	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
2	366345_0054-LP1-16S-0099	Must-20-AUG-2022-gt48-Block1_noPNAs_0	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
3	366345_0053-LP1-16S-0100	Must-27-AUG-2022-gt110-Block1_noPNAs_0	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
4	366345_0052-LP1-16S-0101	Must-27-AUG-2022-gt147-Block2_noPNAs_0	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
5	366345_0051-LP1-16S-0102	Must-20-AUG-2022-gt64-Block2_noPNAs_0	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
6	366345_0050-LP1-16S-0103	Must-20-AUG-2022-gt5-Block2_noPNAs_0	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
7	366345_0049-LP1-16S-0104	Must-20-AUG-2022-gt120-Block1_noPNAs_0	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
8	366345_0048-LP1-16S-0105	DNA18-pos-1_mPNA_0.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
9	366345_0047-LP1-16S-0106	Must-20-AUG-2022-gt48-Block2_mPNA_0.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
10	366345_0046-LP1-16S-0107	Must-20-AUG-2022-gt48-Block1_mPNA_0.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
11	366345_0045-LP1-16S-0108	Must-27-AUG-2022-gt110-Block1_mPNA_0.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
12	366345_0044-LP1-16S-0109	Must-27-AUG-2022-gt147-Block2_mPNA_0.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
13	366345_0043-LP1-16S-0110	Must-20-AUG-2022-gt64-Block2_mPNA_0.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
14	366345_0042-LP1-16S-0111	Must-20-AUG-2022-gt5-Block2_mPNA_0.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
15	366345_0041-LP1-16S-0112	Must-20-AUG-2022-gt120-Block1_mPNA_0.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
16	366345_0040-LP1-16S-0113	DNA18-pos-1_mPNA_0.5	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
17	366345_0039-LP1-16S-0114	Must-20-AUG-2022-gt48-Block2_mPNA_0.5	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
18	366345_0038-LP1-16S-0115	Must-20-AUG-2022-gt48-Block1_mPNA_0.5	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
19	366345_0037-LP1-16S-0116	Must-27-AUG-2022-gt110-Block1_mPNA_0.5	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
20	366345_0036-LP1-16S-0117	Must-27-AUG-2022-gt147-Block2_mPNA_0.5	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
21	366345_0035-LP1-16S-0118	Must-20-AUG-2022-gt64-Block2_mPNA_0.5	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
22	366345_0034-LP1-16S-0119	Must-20-AUG-2022-gt5-Block2_mPNA_0.5	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
23	366345_0033-LP1-16S-0120	Must-20-AUG-2022-gt120-Block1_mPNA_0.5	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
24	366345_0032-LP1-16S-0121	DNA18-pos-1_mPNA_0.75	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
25	366345_0031-LP1-16S-0122	Must-20-AUG-2022-gt48-Block2_mPNA_0.75	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
26	366345_0030-LP1-16S-0123	Must-20-AUG-2022-gt48-Block1_mPNA_0.75	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
27	366345_0029-LP1-16S-0124	Must-27-AUG-2022-gt110-Block1_mPNA_0.75	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
28	366345_0028-LP1-16S-0125	Must-27-AUG-2022-gt147-Block2_mPNA_0.75	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
29	366345_0027-LP1-16S-0126	Must-20-AUG-2022-gt64-Block2_mPNA_0.75	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
30	366345_0026-LP1-16S-0127	Must-20-AUG-2022-gt5-Block2_mPNA_0.75	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
31	366345_0025-LP1-16S-0128	Must-20-AUG-2022-gt120-Block1_mPNA_0.75	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
32	366345_0024-LP1-16S-0129	DNA18-pos-1_mPNA_1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
33	366345_0023-LP1-16S-0130	Must-20-AUG-2022-gt48-Block2_mPNA_1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
34	366345_0022-LP1-16S-0131	Must-20-AUG-2022-gt48-Block1_mPNA_1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
